IMDb_ID,Title,Award,Oscar_Year,Character,Gender,Words,N_Chunks,Emotion_Dominant,Emotion_Anger,Emotion_Disgust,Emotion_Fear,Emotion_Joy,Emotion_Neutral,Emotion_Sadness,Emotion_Surprise
tt0167260,The Lord of the Rings: The Return of the King,Best Picture,2004,ARAGORN,male,493,2,fear,0.2097,0.0094,0.717,0.0048,0.0171,0.0343,0.0076
tt0167260,The Lord of the Rings: The Return of the King,Best Picture,2004,ARWEN,female,127,1,sadness,0.0173,0.0395,0.0242,0.0039,0.1733,0.6993,0.0425
tt0167260,The Lord of the Rings: The Return of the King,Best Picture,2004,BILBO,male,54,1,sadness,0.0164,0.0608,0.0047,0.0165,0.0627,0.7929,0.046
tt0167260,The Lord of the Rings: The Return of the King,Best Picture,2004,DENETHOR,male,351,1,anger,0.8022,0.0434,0.0751,0.0026,0.0279,0.0389,0.0097
tt0167260,The Lord of the Rings: The Return of the King,Best Picture,2004,DÉAGOL,male,9,1,surprise,0.0519,0.0125,0.0036,0.0162,0.0264,0.0043,0.8851
tt0167260,The Lord of the Rings: The Return of the King,Best Picture,2004,ELROND,male,261,1,sadness,0.2673,0.0376,0.1419,0.0026,0.0656,0.4801,0.0048
tt0167260,The Lord of the Rings: The Return of the King,Best Picture,2004,FARAMIR,male,125,1,anger,0.4014,0.0281,0.3899,0.0049,0.0539,0.035,0.0868
tt0167260,The Lord of the Rings: The Return of the King,Best Picture,2004,FIGWIT,male,5,1,neutral,0.0204,0.0084,0.0095,0.0029,0.8477,0.0217,0.0893
tt0167260,The Lord of the Rings: The Return of the King,Best Picture,2004,FRODO,male,593,2,sadness,0.2357,0.0877,0.134,0.0144,0.1229,0.2708,0.1346
tt0167260,The Lord of the Rings: The Return of the King,Best Picture,2004,GALADRIEL,female,65,1,neutral,0.0269,0.0213,0.0585,0.0214,0.4968,0.3613,0.0138
tt0167260,The Lord of the Rings: The Return of the King,Best Picture,2004,GAMLING,male,25,1,sadness,0.0659,0.0954,0.027,0.0032,0.0466,0.6212,0.1406
tt0167260,The Lord of the Rings: The Return of the King,Best Picture,2004,GANDALF,male,1032,3,sadness,0.297,0.0455,0.2765,0.0051,0.0399,0.3094,0.0266
tt0167260,The Lord of the Rings: The Return of the King,Best Picture,2004,GATE GUARD,male,4,1,surprise,0.0549,0.0042,0.0074,0.131,0.3024,0.0061,0.494
tt0167260,The Lord of the Rings: The Return of the King,Best Picture,2004,GIMLI,male,195,1,disgust,0.3747,0.3835,0.0138,0.0604,0.0617,0.0434,0.0626
tt0167260,The Lord of the Rings: The Return of the King,Best Picture,2004,GOLLUM,male,416,2,anger,0.4568,0.2904,0.0824,0.0146,0.0655,0.0525,0.0379
tt0167260,The Lord of the Rings: The Return of the King,Best Picture,2004,GORBAG,male,60,1,disgust,0.2672,0.5649,0.0338,0.0071,0.0545,0.0294,0.0431
tt0167260,The Lord of the Rings: The Return of the King,Best Picture,2004,GOTHMOG,male,58,1,fear,0.0996,0.0092,0.8283,0.0071,0.0386,0.0107,0.0066
tt0167260,The Lord of the Rings: The Return of the King,Best Picture,2004,GRIMBOLD,male,10,1,joy,0.039,0.0701,0.0185,0.3895,0.2666,0.0398,0.1766
tt0167260,The Lord of the Rings: The Return of the King,Best Picture,2004,GUARD,male,15,1,joy,0.0487,0.006,0.047,0.396,0.2747,0.0177,0.2099
tt0167260,The Lord of the Rings: The Return of the King,Best Picture,2004,HEAD ORC,male,16,1,anger,0.762,0.1194,0.0282,0.0061,0.0325,0.0365,0.0153
tt0167260,The Lord of the Rings: The Return of the King,Best Picture,2004,IORLAS,male,25,1,surprise,0.1337,0.0255,0.0406,0.026,0.1079,0.2,0.4663
tt0167260,The Lord of the Rings: The Return of the King,Best Picture,2004,KING OF THE DEAD,male,41,1,anger,0.6252,0.0446,0.09,0.0065,0.1418,0.0622,0.0297
tt0167260,The Lord of the Rings: The Return of the King,Best Picture,2004,LEGOLAS,male,143,1,fear,0.03,0.0255,0.6347,0.0032,0.1611,0.1342,0.0113
tt0167260,The Lord of the Rings: The Return of the King,Best Picture,2004,LIEUTENANT,male,1,1,surprise,0.1945,0.0212,0.0118,0.2178,0.222,0.0175,0.3151
tt0167260,The Lord of the Rings: The Return of the King,Best Picture,2004,MADRIL,male,8,1,anger,0.7298,0.0209,0.0149,0.0012,0.0158,0.2106,0.0067
tt0167260,The Lord of the Rings: The Return of the King,Best Picture,2004,MERRY,male,228,1,anger,0.6154,0.1031,0.0397,0.0108,0.0542,0.0399,0.137
tt0167260,The Lord of the Rings: The Return of the King,Best Picture,2004,ORC 2,male,9,1,neutral,0.0034,0.0072,0.0016,0.0055,0.9404,0.0062,0.0358
tt0167260,The Lord of the Rings: The Return of the King,Best Picture,2004,ORC COMMANDER,male,2,1,anger,0.5953,0.022,0.018,0.1097,0.2247,0.0065,0.0238
tt0167260,The Lord of the Rings: The Return of the King,Best Picture,2004,ORCS,male,3,1,joy,0.2727,0.0205,0.0045,0.4421,0.1262,0.0344,0.0996
tt0167260,The Lord of the Rings: The Return of the King,Best Picture,2004,PIPPIN,male,445,2,anger,0.2746,0.2454,0.0849,0.0094,0.0439,0.0951,0.2466
tt0167260,The Lord of the Rings: The Return of the King,Best Picture,2004,ROHAN MARSHALL,male,9,1,neutral,0.005,0.002,0.0018,0.0853,0.8563,0.0048,0.0446
tt0167260,The Lord of the Rings: The Return of the King,Best Picture,2004,ROHAN SOLDIER,male,9,1,fear,0.1378,0.0221,0.503,0.0015,0.2034,0.0166,0.1155
tt0167260,The Lord of the Rings: The Return of the King,Best Picture,2004,ROHIRRIM,male,1,1,sadness,0.2133,0.0686,0.0362,0.0086,0.0672,0.5358,0.0703
tt0167260,The Lord of the Rings: The Return of the King,Best Picture,2004,SAM,male,721,3,anger,0.6882,0.0871,0.073,0.0219,0.047,0.0377,0.0451
tt0167260,The Lord of the Rings: The Return of the King,Best Picture,2004,SHAGRAT,male,64,1,anger,0.4845,0.4254,0.0264,0.008,0.0309,0.0133,0.0117
tt0167260,The Lord of the Rings: The Return of the King,Best Picture,2004,SMÉAGOL,male,244,1,anger,0.4475,0.2071,0.1144,0.0074,0.0473,0.1476,0.0287
tt0167260,The Lord of the Rings: The Return of the King,Best Picture,2004,SOLDIER,male,1,1,anger,0.538,0.1075,0.0239,0.0336,0.0621,0.02,0.2149
tt0167260,The Lord of the Rings: The Return of the King,Best Picture,2004,SOLDIER 1,male,5,1,neutral,0.0125,0.0114,0.0089,0.0033,0.8837,0.0053,0.0749
tt0167260,The Lord of the Rings: The Return of the King,Best Picture,2004,SOLDIER 2,male,4,1,neutral,0.0209,0.0081,0.0699,0.0053,0.7947,0.0267,0.0744
tt0167260,The Lord of the Rings: The Return of the King,Best Picture,2004,THÉODEN,male,421,2,fear,0.0766,0.012,0.7055,0.0068,0.0282,0.1603,0.0106
tt0167260,The Lord of the Rings: The Return of the King,Best Picture,2004,TREEBEARD,male,51,1,disgust,0.0994,0.3924,0.0047,0.3199,0.1472,0.025,0.0114
tt0167260,The Lord of the Rings: The Return of the King,Best Picture,2004,WITCH KING,male,41,1,anger,0.8756,0.062,0.0405,0.0011,0.0105,0.0085,0.0017
tt0167260,The Lord of the Rings: The Return of the King,Best Picture,2004,ÉOMER,male,76,1,fear,0.0418,0.0089,0.9198,0.0028,0.0151,0.0065,0.005
tt0167260,The Lord of the Rings: The Return of the King,Best Picture,2004,ÉOWYN,female,161,1,anger,0.6647,0.1373,0.0775,0.0056,0.0698,0.02,0.0251
tt0169547,American Beauty,Best Picture,2000,ANGELA,female,967,3,disgust,0.2104,0.5708,0.044,0.0082,0.0339,0.0228,0.1099
tt0169547,American Beauty,Best Picture,2000,ANNOUNCER,unknown,11,1,joy,0.023,0.0065,0.0017,0.5779,0.2988,0.0108,0.0813
tt0169547,American Beauty,Best Picture,2000,ATTENDANT,unknown,20,1,neutral,0.0384,0.3739,0.0402,0.0117,0.4332,0.0585,0.0441
tt0169547,American Beauty,Best Picture,2000,BARBARA,female,31,1,sadness,0.0355,0.1392,0.076,0.0121,0.0686,0.406,0.2625
tt0169547,American Beauty,Best Picture,2000,BRAD,male,158,1,anger,0.4612,0.2542,0.0149,0.0163,0.2252,0.0183,0.0099
tt0169547,American Beauty,Best Picture,2000,BUDDY,male,228,1,joy,0.0065,0.0057,0.0036,0.5314,0.0512,0.2749,0.1266
tt0169547,American Beauty,Best Picture,2000,CAROLYN,female,1304,4,disgust,0.2835,0.2866,0.0459,0.0852,0.1184,0.0364,0.144
tt0169547,American Beauty,Best Picture,2000,CATERING BOSS,male,17,1,anger,0.6975,0.2302,0.0127,0.0033,0.0221,0.0218,0.0125
tt0169547,American Beauty,Best Picture,2000,CHRISTY,female,1,1,neutral,0.0033,0.0065,0.0056,0.0059,0.9508,0.0077,0.0203
tt0169547,American Beauty,Best Picture,2000,COLONEL,male,294,1,anger,0.689,0.2231,0.0221,0.0063,0.0199,0.0143,0.0252
tt0169547,American Beauty,Best Picture,2000,COUNTER GIRL,female,25,1,surprise,0.0372,0.1071,0.0052,0.0047,0.0275,0.0398,0.7784
tt0169547,American Beauty,Best Picture,2000,CO­WORKER,unknown,10,1,neutral,0.0226,0.0132,0.0037,0.2265,0.6082,0.0312,0.0945
tt0169547,American Beauty,Best Picture,2000,DRIVE­THRU GIRL,female,23,1,neutral,0.0179,0.0332,0.0071,0.149,0.7748,0.0094,0.0085
tt0169547,American Beauty,Best Picture,2000,JANE,female,861,3,disgust,0.1353,0.7898,0.0282,0.0026,0.0121,0.0131,0.019
tt0169547,American Beauty,Best Picture,2000,JIM #1,male,80,1,neutral,0.0078,0.0904,0.0087,0.2265,0.5876,0.0576,0.0213
tt0169547,American Beauty,Best Picture,2000,JIM #2,male,81,1,neutral,0.0604,0.1189,0.0067,0.0338,0.6329,0.0221,0.1252
tt0169547,American Beauty,Best Picture,2000,LESTER,male,2572,8,disgust,0.2513,0.2574,0.1016,0.0207,0.1236,0.0518,0.1937
tt0169547,American Beauty,Best Picture,2000,MANAGER,male,12,1,surprise,0.016,0.0183,0.0084,0.0034,0.0414,0.0053,0.9073
tt0169547,American Beauty,Best Picture,2000,RICKY,male,1194,4,disgust,0.1528,0.5044,0.0455,0.0072,0.1509,0.0727,0.0666
tt0169547,American Beauty,Best Picture,2000,TAPE VOICE,unknown,72,1,fear,0.0524,0.0238,0.7796,0.0033,0.1214,0.0171,0.0023
tt0169547,American Beauty,Best Picture,2000,TEENAGE GIRL #1,female,8,1,disgust,0.3639,0.6053,0.0043,0.001,0.0101,0.007,0.0083
tt0169547,American Beauty,Best Picture,2000,TEENAGE GIRL #2,female,26,1,disgust,0.4247,0.5043,0.0073,0.0025,0.0479,0.0091,0.0042
tt0169547,American Beauty,Best Picture,2000,WOMAN #1,female,18,1,neutral,0.0045,0.0213,0.002,0.0049,0.9485,0.0055,0.0133
tt0169547,American Beauty,Best Picture,2000,WOMAN #2,female,23,1,neutral,0.0341,0.2816,0.0099,0.0035,0.5782,0.0127,0.0801
tt0172495,Gladiator,Best Picture,2001,ASSASSIN #1,male,18,1,neutral,0.036,0.0137,0.0017,0.0227,0.9188,0.0033,0.0038
tt0172495,Gladiator,Best Picture,2001,ASSASSIN #2,male,3,1,anger,0.6431,0.049,0.0073,0.014,0.2643,0.0077,0.0146
tt0172495,Gladiator,Best Picture,2001,ASSASSIN #3,male,18,1,anger,0.754,0.1307,0.0665,0.0019,0.0206,0.0106,0.0156
tt0172495,Gladiator,Best Picture,2001,ASSASSIN #4,male,2,1,neutral,0.0318,0.0616,0.0351,0.0048,0.5683,0.2939,0.0044
tt0172495,Gladiator,Best Picture,2001,CASSIUS,male,313,1,anger,0.4001,0.0203,0.1588,0.0692,0.2194,0.0461,0.0862
tt0172495,Gladiator,Best Picture,2001,CENTURION,male,16,1,neutral,0.068,0.0484,0.017,0.0572,0.6982,0.043,0.0681
tt0172495,Gladiator,Best Picture,2001,CHILD,unknown,15,1,joy,0.0407,0.0841,0.0016,0.6234,0.237,0.0083,0.0049
tt0172495,Gladiator,Best Picture,2001,CHILDREN,unknown,6,1,disgust,0.0303,0.9079,0.0103,0.0028,0.0141,0.0178,0.0169
tt0172495,Gladiator,Best Picture,2001,COMMODUS,male,2039,6,sadness,0.2253,0.1006,0.1729,0.0071,0.0967,0.3797,0.0177
tt0172495,Gladiator,Best Picture,2001,FALCO,male,26,1,anger,0.476,0.3885,0.0055,0.0097,0.0595,0.0556,0.0052
tt0172495,Gladiator,Best Picture,2001,FELIX REGIMENT,male,2,1,joy,0.1586,0.0541,0.0047,0.4659,0.2197,0.0801,0.0169
tt0172495,Gladiator,Best Picture,2001,GAIUS,male,163,1,neutral,0.0543,0.2326,0.0116,0.0046,0.5901,0.0973,0.0096
tt0172495,Gladiator,Best Picture,2001,GALLUS,male,24,1,neutral,0.0214,0.0698,0.0065,0.0157,0.836,0.0097,0.0408
tt0172495,Gladiator,Best Picture,2001,GERMAN PRISONER,male,79,1,anger,0.4912,0.4037,0.0163,0.0015,0.0554,0.0254,0.0065
tt0172495,Gladiator,Best Picture,2001,GRACCHUS,male,531,2,disgust,0.1664,0.5828,0.0727,0.0026,0.0851,0.0855,0.0049
tt0172495,Gladiator,Best Picture,2001,HANDMAIDEN,female,7,1,surprise,0.0242,0.1393,0.0767,0.0076,0.3134,0.071,0.368
tt0172495,Gladiator,Best Picture,2001,JUBA,male,403,1,anger,0.5459,0.1608,0.1141,0.0031,0.1375,0.0275,0.011
tt0172495,Gladiator,Best Picture,2001,KIDS,unknown,6,1,joy,0.03,0.0049,0.0027,0.501,0.3366,0.0107,0.1141
tt0172495,Gladiator,Best Picture,2001,LUCILLA,female,1167,3,anger,0.4681,0.1439,0.1598,0.0038,0.1655,0.0458,0.0132
tt0172495,Gladiator,Best Picture,2001,LUCIUS,male,88,1,surprise,0.1284,0.0668,0.0309,0.0122,0.0423,0.0208,0.6987
tt0172495,Gladiator,Best Picture,2001,MARCELLUS,male,103,1,neutral,0.2522,0.2832,0.0046,0.0018,0.4048,0.0157,0.0377
tt0172495,Gladiator,Best Picture,2001,MARCUS,male,825,2,fear,0.2709,0.0956,0.4516,0.0029,0.1482,0.0205,0.0103
tt0172495,Gladiator,Best Picture,2001,MAXIMUS,male,1328,4,anger,0.3172,0.1151,0.1405,0.039,0.2261,0.1469,0.015
tt0172495,Gladiator,Best Picture,2001,MAXIMUS' SON,male,4,1,joy,0.054,0.0094,0.0033,0.5182,0.0641,0.0752,0.2759
tt0172495,Gladiator,Best Picture,2001,PRAETORIAN,male,1,1,neutral,0.0239,0.0333,0.0127,0.0332,0.7869,0.0396,0.0704
tt0172495,Gladiator,Best Picture,2001,PRAETORIAN GUARD MEMBER,male,3,1,neutral,0.0109,0.0151,0.0114,0.0165,0.9207,0.0084,0.017
tt0172495,Gladiator,Best Picture,2001,PROXIMO,male,1145,3,anger,0.584,0.1646,0.0154,0.0076,0.1928,0.0185,0.017
tt0172495,Gladiator,Best Picture,2001,QUINTUS,male,101,1,anger,0.4777,0.1578,0.1786,0.0039,0.0567,0.1176,0.0077
tt0172495,Gladiator,Best Picture,2001,SCRIBE,male,41,1,surprise,0.2029,0.1058,0.0435,0.0054,0.0607,0.0141,0.5675
tt0172495,Gladiator,Best Picture,2001,SLAVE TRADER,male,123,1,anger,0.7604,0.0959,0.0494,0.0094,0.0232,0.0118,0.05
tt0172495,Gladiator,Best Picture,2001,SOLDIER 1,male,14,1,neutral,0.0334,0.242,0.0409,0.0042,0.5126,0.0556,0.1113
tt0172495,Gladiator,Best Picture,2001,TITUS,male,58,1,anger,0.2993,0.1311,0.0152,0.0451,0.2581,0.0753,0.1759
tt0172495,Gladiator,Best Picture,2001,TRAINER #1,male,23,1,surprise,0.0829,0.0172,0.011,0.0128,0.3351,0.0121,0.5288
tt0172495,Gladiator,Best Picture,2001,TRAINER #2,male,9,1,anger,0.5764,0.3304,0.0038,0.0046,0.025,0.0118,0.048
tt0172495,Gladiator,Best Picture,2001,TRAINER #3,male,9,1,neutral,0.0138,0.0074,0.004,0.1445,0.7024,0.0515,0.0764
tt0172495,Gladiator,Best Picture,2001,TRAINER #4,male,23,1,surprise,0.0431,0.0148,0.0026,0.0074,0.041,0.0059,0.8852
tt0172495,Gladiator,Best Picture,2001,VALERIUS,male,28,1,surprise,0.0121,0.0155,0.006,0.0389,0.0841,0.0196,0.8238
tt0172495,Gladiator,Best Picture,2001,VIBIUS,male,101,1,anger,0.6733,0.2799,0.0206,0.0015,0.0113,0.009,0.0045
tt0268978,A Beautiful Mind,Best Picture,2002,ADJUNCT,male,15,1,neutral,0.1359,0.2508,0.0101,0.0026,0.3249,0.2168,0.0589
tt0268978,A Beautiful Mind,Best Picture,2002,ALICIA,female,1329,4,surprise,0.096,0.1111,0.1656,0.0049,0.1169,0.0261,0.4793
tt0268978,A Beautiful Mind,Best Picture,2002,ANALYST,male,8,1,neutral,0.0649,0.0126,0.103,0.0101,0.7475,0.0365,0.0253
tt0268978,A Beautiful Mind,Best Picture,2002,ARCHER,male,14,1,neutral,0.1612,0.2656,0.0328,0.0201,0.4323,0.0487,0.0393
tt0268978,A Beautiful Mind,Best Picture,2002,BECKY,female,16,1,neutral,0.2844,0.1892,0.0045,0.0617,0.4217,0.0323,0.0061
tt0268978,A Beautiful Mind,Best Picture,2002,CAPTAIN,male,20,1,neutral,0.0051,0.0064,0.0013,0.0056,0.9311,0.0081,0.0424
tt0268978,A Beautiful Mind,Best Picture,2002,CHARLES,male,450,2,neutral,0.0719,0.0454,0.1211,0.2813,0.3137,0.0493,0.1173
tt0268978,A Beautiful Mind,Best Picture,2002,FAT STUDENT,male,6,1,neutral,0.0098,0.0065,0.0039,0.006,0.8683,0.0059,0.0997
tt0268978,A Beautiful Mind,Best Picture,2002,FOX,male,350,1,surprise,0.1396,0.1781,0.0461,0.0118,0.2251,0.103,0.2962
tt0268978,A Beautiful Mind,Best Picture,2002,GENERAL,male,40,1,joy,0.0091,0.0029,0.0019,0.7163,0.1145,0.0161,0.1394
tt0268978,A Beautiful Mind,Best Picture,2002,GUARD,male,9,1,sadness,0.0042,0.0299,0.012,0.0027,0.1013,0.8165,0.0334
tt0268978,A Beautiful Mind,Best Picture,2002,HORNER,male,154,1,anger,0.8619,0.0347,0.0133,0.0034,0.0553,0.0186,0.0128
tt0268978,A Beautiful Mind,Best Picture,2002,KUHN,male,47,1,neutral,0.0088,0.0198,0.0034,0.0268,0.9289,0.0047,0.0076
tt0268978,A Beautiful Mind,Best Picture,2002,MAN,male,11,1,neutral,0.0579,0.1343,0.336,0.0115,0.4169,0.0341,0.0093
tt0268978,A Beautiful Mind,Best Picture,2002,MAN 1,male,11,1,sadness,0.0017,0.011,0.003,0.0025,0.0262,0.9476,0.0081
tt0268978,A Beautiful Mind,Best Picture,2002,MAN 2,male,9,1,sadness,0.0762,0.2557,0.0146,0.0051,0.0989,0.5237,0.0258
tt0268978,A Beautiful Mind,Best Picture,2002,MARCEE,female,69,1,anger,0.4652,0.3476,0.0279,0.0246,0.0588,0.0421,0.0337
tt0268978,A Beautiful Mind,Best Picture,2002,MILNOR,male,432,2,fear,0.0397,0.0196,0.8428,0.0054,0.0303,0.011,0.0511
tt0268978,A Beautiful Mind,Best Picture,2002,NASH,male,3153,9,anger,0.3262,0.1579,0.1616,0.0084,0.2118,0.0348,0.0994
tt0268978,A Beautiful Mind,Best Picture,2002,NURSE,female,5,1,neutral,0.012,0.0144,0.0043,0.0035,0.8192,0.014,0.1327
tt0268978,A Beautiful Mind,Best Picture,2002,PARCHER,male,1088,3,anger,0.4942,0.1136,0.1312,0.0033,0.2089,0.0326,0.0161
tt0268978,A Beautiful Mind,Best Picture,2002,PROFESSOR,male,22,1,neutral,0.0261,0.084,0.0779,0.0132,0.4273,0.2974,0.0741
tt0268978,A Beautiful Mind,Best Picture,2002,ROSEN,male,752,2,fear,0.0498,0.1534,0.389,0.0033,0.3148,0.0533,0.0364
tt0268978,A Beautiful Mind,Best Picture,2002,SHAPELY,male,75,1,neutral,0.0332,0.0693,0.0088,0.0035,0.8578,0.0113,0.016
tt0268978,A Beautiful Mind,Best Picture,2002,SKINNY STUDENT,male,6,1,disgust,0.0996,0.7511,0.0284,0.003,0.0488,0.0155,0.0536
tt0268978,A Beautiful Mind,Best Picture,2002,STUDENT,male,90,1,neutral,0.0572,0.1565,0.0353,0.0241,0.5836,0.0076,0.1357
tt0268978,A Beautiful Mind,Best Picture,2002,TECHNICIAN,male,4,1,disgust,0.0112,0.4261,0.2778,0.0082,0.224,0.0412,0.0114
tt0268978,A Beautiful Mind,Best Picture,2002,VAN NEUMANN,male,301,1,neutral,0.0108,0.0081,0.0026,0.3089,0.6216,0.0117,0.0364
tt0268978,A Beautiful Mind,Best Picture,2002,VOICE,unknown,13,1,anger,0.6644,0.0418,0.2168,0.0055,0.0257,0.0174,0.0283
tt0268978,A Beautiful Mind,Best Picture,2002,YOUNG MAN,male,10,1,surprise,0.1834,0.1182,0.0258,0.0217,0.1213,0.0285,0.5012
tt0268978,A Beautiful Mind,Best Picture,2002,ZWEIFEL,male,256,1,anger,0.4023,0.3235,0.0154,0.0027,0.1129,0.0212,0.122
tt0299658,Chicago,Best Picture,2003,AMOS,male,696,3,anger,0.2756,0.0789,0.2219,0.0127,0.1321,0.0934,0.1854
tt0299658,Chicago,Best Picture,2003,ANNIE,female,108,1,disgust,0.1412,0.6253,0.0074,0.0083,0.1128,0.0201,0.085
tt0299658,Chicago,Best Picture,2003,BAILIFF,male,27,1,neutral,0.2494,0.197,0.0297,0.0056,0.4877,0.0152,0.0154
tt0299658,Chicago,Best Picture,2003,BANDLEADER,male,288,1,neutral,0.0387,0.0096,0.1246,0.1994,0.5004,0.0587,0.0686
tt0299658,Chicago,Best Picture,2003,BILLY,male,2527,8,anger,0.366,0.1528,0.0751,0.0126,0.2774,0.0487,0.0674
tt0299658,Chicago,Best Picture,2003,CASELY,male,101,1,neutral,0.2377,0.1344,0.176,0.0371,0.3045,0.074,0.0362
tt0299658,Chicago,Best Picture,2003,CLERK,unknown,19,1,neutral,0.0884,0.2025,0.0517,0.0068,0.6149,0.027,0.0087
tt0299658,Chicago,Best Picture,2003,CLUB OWNER,male,14,1,neutral,0.0143,0.0179,0.0098,0.0739,0.8523,0.0104,0.0214
tt0299658,Chicago,Best Picture,2003,DOCTOR,male,3,1,neutral,0.0097,0.0157,0.0042,0.0047,0.724,0.0176,0.2242
tt0299658,Chicago,Best Picture,2003,ENSEMBLE,unknown,28,1,surprise,0.0282,0.0039,0.0034,0.173,0.2543,0.2389,0.2982
tt0299658,Chicago,Best Picture,2003,GIRLS,female,23,1,neutral,0.0504,0.044,0.0037,0.0261,0.8468,0.0162,0.0129
tt0299658,Chicago,Best Picture,2003,GUARD,male,3,1,neutral,0.0293,0.201,0.0228,0.019,0.6948,0.0209,0.0121
tt0299658,Chicago,Best Picture,2003,HARRISON,male,326,1,anger,0.4453,0.2152,0.0133,0.0261,0.2078,0.0223,0.0699
tt0299658,Chicago,Best Picture,2003,HUNYAK,female,4,1,anger,0.5851,0.068,0.0571,0.067,0.0998,0.0815,0.0414
tt0299658,Chicago,Best Picture,2003,JUDGE,male,42,1,neutral,0.1223,0.0951,0.037,0.0102,0.6901,0.0347,0.0107
tt0299658,Chicago,Best Picture,2003,JUNE,female,63,1,anger,0.7072,0.0945,0.0326,0.0066,0.0573,0.0199,0.0819
tt0299658,Chicago,Best Picture,2003,KITTY,female,36,1,sadness,0.1366,0.1801,0.0341,0.0098,0.1152,0.4573,0.0669
tt0299658,Chicago,Best Picture,2003,LIZ,female,94,1,anger,0.7897,0.061,0.0197,0.005,0.084,0.0187,0.0219
tt0299658,Chicago,Best Picture,2003,MARY SUNSHINE,female,361,2,fear,0.0264,0.1059,0.6177,0.0035,0.0618,0.0851,0.0997
tt0299658,Chicago,Best Picture,2003,MATRON,female,688,3,neutral,0.2282,0.1182,0.0216,0.0133,0.4537,0.1091,0.0558
tt0299658,Chicago,Best Picture,2003,MEN,male,6,1,neutral,0.0391,0.0761,0.0045,0.1484,0.5449,0.0917,0.0954
tt0299658,Chicago,Best Picture,2003,MONA,female,66,1,disgust,0.0872,0.3882,0.0113,0.0028,0.3235,0.1489,0.0381
tt0299658,Chicago,Best Picture,2003,MRS. BORUSEWICZ,female,4,1,neutral,0.0555,0.0442,0.0015,0.0406,0.8485,0.0063,0.0032
tt0299658,Chicago,Best Picture,2003,NEIGHBOR,female,2,1,neutral,0.0338,0.1822,0.0396,0.0345,0.4226,0.1767,0.1107
tt0299658,Chicago,Best Picture,2003,NEWSBOY,male,12,1,joy,0.2242,0.015,0.02,0.3432,0.3037,0.0257,0.0682
tt0299658,Chicago,Best Picture,2003,NEWSREEL ANNOUNCER,male,106,1,neutral,0.0553,0.0584,0.009,0.0469,0.7562,0.0255,0.0486
tt0299658,Chicago,Best Picture,2003,NEWSREEL NARRATOR,male,42,1,neutral,0.015,0.02,0.001,0.0838,0.8152,0.0225,0.0426
tt0299658,Chicago,Best Picture,2003,NICKIE,female,12,1,neutral,0.0476,0.0285,0.0039,0.0513,0.8587,0.0066,0.0033
tt0299658,Chicago,Best Picture,2003,PHOTOGRAPHER,male,66,1,disgust,0.1247,0.4702,0.0141,0.0283,0.12,0.0645,0.1783
tt0299658,Chicago,Best Picture,2003,REPORTER,unknown,155,1,anger,0.6978,0.0741,0.0187,0.0052,0.0728,0.0427,0.0887
tt0299658,Chicago,Best Picture,2003,ROXIE,female,2403,8,fear,0.1676,0.168,0.2041,0.0193,0.19,0.0568,0.194
tt0299658,Chicago,Best Picture,2003,ROXIE & VELMA,female,64,1,surprise,0.0718,0.0666,0.0173,0.0763,0.191,0.2681,0.309
tt0299658,Chicago,Best Picture,2003,SGT. FOGARTY,male,34,1,neutral,0.2143,0.0726,0.0684,0.0063,0.5987,0.0145,0.0252
tt0299658,Chicago,Best Picture,2003,STAGE MANAGER,male,30,1,neutral,0.0623,0.0785,0.0059,0.0218,0.5664,0.0327,0.2325
tt0299658,Chicago,Best Picture,2003,VELMA,female,685,3,neutral,0.1644,0.1373,0.1945,0.0218,0.2745,0.0406,0.1669
tt0375679,Crash,Best Picture,2006,ALLAN,male,48,1,anger,0.2855,0.1403,0.2366,0.0117,0.0583,0.0657,0.2018
tt0375679,Crash,Best Picture,2006,ANTHONY,male,893,3,anger,0.5882,0.1294,0.1657,0.0047,0.0315,0.0082,0.0722
tt0375679,Crash,Best Picture,2006,BRUCE,male,25,1,neutral,0.0206,0.0432,0.0091,0.0052,0.7244,0.009,0.1885
tt0375679,Crash,Best Picture,2006,CAMERON,male,420,2,anger,0.7207,0.172,0.0306,0.0086,0.0203,0.0157,0.0321
tt0375679,Crash,Best Picture,2006,CAROL,female,7,1,neutral,0.0148,0.0208,0.0029,0.009,0.7551,0.0084,0.189
tt0375679,Crash,Best Picture,2006,CHOI,male,58,1,anger,0.3836,0.0695,0.1396,0.0535,0.2393,0.0605,0.054
tt0375679,Crash,Best Picture,2006,CHRISTINE,female,472,2,anger,0.4512,0.4387,0.0438,0.0042,0.0166,0.0195,0.0259
tt0375679,Crash,Best Picture,2006,DANIEL,male,549,2,disgust,0.3327,0.3692,0.0429,0.0279,0.1266,0.0218,0.0789
tt0375679,Crash,Best Picture,2006,DETECTIVE CARR,male,35,1,anger,0.3037,0.2527,0.1885,0.0055,0.2,0.0307,0.019
tt0375679,Crash,Best Picture,2006,DIRK,male,128,1,anger,0.4507,0.4019,0.0118,0.0042,0.0461,0.0123,0.0729
tt0375679,Crash,Best Picture,2006,DIXON,male,256,1,neutral,0.0566,0.0289,0.385,0.0072,0.486,0.0128,0.0235
tt0375679,Crash,Best Picture,2006,DORRI,female,141,1,surprise,0.1789,0.1164,0.0348,0.0106,0.0375,0.04,0.5818
